CountryEnglish,ISO3v10,ContinentName,Continent,CountryCode,CountryCodeLong,UNRegion,ISO2,UNSDCode,Resolution,PopulationPerUnit,Area,LevelUsed,Level1Type,Level2Type,Level3Type,Level4Type,Level5Type,NumUnits,RefYearFirst,RefYearLast,P90E ('000),P95E ('000),P00E  ('000),UN_P90 ('000),UN_P95 ('000),UN_P00 ('000),Diff90,Diff00,Source Data: Boundaries,Source Data: Population,Edits and Notes: Spatial,Edits and Notes: Population,Num Settlement Points,Largest Point (pop),Smallest Point (pop),Mean Point (pop),Urban Criteria (UN),Num Urban Extents,Largest Extent (sq.km),Smallest Extent (sq.km),Mean Extent (sq.km),Sum-All Urban Extents (sq.km),Largest Extent (pop),Smallest Extent (pop),Mean Extent (pop),Sum-All Urban Extents (pop),Pct Total Land Area in Urban Extents (sq.km),"Pct Total Population in Urban Extents (2000,NSO est.)","Pct Total Population that is urban (2000,UN)",Num UE's from Nighttime Lights ,Num UE's from Regressions,Num UE's from DCW ,Num UE's from other sources,Settlement Point Population Source,Settlement Point Coordinate Source
Estonia,EST,Europe,5,207,20705,Northern Europe,EE,233,13,5,"43,179",2,County,Municipality,,,,251,1990,2000,"1,572","1,468","1,372","1,571","1,484","1,393",-0.04,1.50,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"2000 data from the Statistical Office of Estonia, Table: Population by the Place of residence in 2000 and 1989 Population Censuses (by data of 2000 census), http://gatekeeper.stat.ee:8000/px-web.2001/Dialog/varval.asp?ma=PC111&ti=POPULATION+BY+THE+PLACE+OF+RESIDENCE+IN+2000+AND+1989+POPULATION+CENSUSES+%28BY+DATA+OF+2000+CENSUS%29&path=../I_Databas/Population_census/14Place_of_residence_at_the_time_of_the_1989_Population_Census/&lang=1   
The 1990 data are official estimates of population from the Statistical Office of Estonia,  http://www.stat.ee/",,A county (administrative level 1) population growth rate was calculated between 1990 and 2000 and applied to the muncipality units (administrative level 2) population to extrapolate to target years.,42,"400,378","1,165","21,981.21",Cities and urban-type localities des_ignated as such according to criteria based on the number of inhabitants and the predominance of non-agricultural workers and their families.,21,639,22,125.80,"2,642","470,287","5,702","46,610.48","978,820",6.12,71.34,69.40,21,0,0,0,"Housing and Population Census 2000, http://www.stat.ee/582",World Gazetteer
Finland,FIN,Europe,5,234,23405,Northern Europe,FI,246,27,12,"317,001",2,Laeaeni ,Kunta,,,,448,1993,2000,"5,027","5,079","5,188","4,986","5,108","5,172",-0.83,-0.32,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"2000 Kunta population data provided by:
Mr. Juhani Leskinen. Library of Statistics Finland.  
Email: library@stat.fi   
Internet: http://www.stat.fi
1993 Kunta population downloaded from UNEP GEO data portal.",Boundary data clipped to DCW coastline boundaries.,A  population growth rate was calculated between 1993 and 2000 to extrapolate to target years.,101,"1,027,305","9,613","43,336.13",Urban communes.,43,"2,705",52,449.98,"19,349","1,299,138","5,726","81,307.79","3,496,235",6.10,67.39,58.50,42,1,0,0,"City Population, www.citypopulation.de; Statistical Yearbook of Finland 2002, UN Statistical Library, hard copy",NIMA; World Gazetteer
France,FRA,Europe,5,238,23805,Western Europe,FR,250,4,2,"547,120",4,Département,Arrondisement,Canton/ville,Commune,,36585,1990,1999,"55,694","57,165","58,888","56,735","58,139","59,238",1.84,0.59,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"1990 and 1999 population data from National Institute of Statistics and Economic Studies (INSEE), http://www.insee.fr/ .  
1999 Commune data from Recensement de la Population. Mars 1999. Les Resultats, http://www.recensement.insee.fr/RP99/rp99/page_accueil.paccueil?nivgeo=D&theme=POP&typeprod=BDD&lang=FR&departement=01 .  ",,"(1) Canton level (administrative level 1) growth rate between 1990 to 1999 are applied to Commune 1999 population to extrapolate to target years.  
(2) The population of the 16 Arrondissements of Marseille in Bouches-du-Rhone are totaled and assigned to the Marseille polygon.  
(3) The population of the 9 Arrondissements of Lyon in Rhone are totaled  and assigned to the Lyon polygon.  
(4) In Orne, the population of Tessé-la-Madeleine added to Bagnoles-de-l'Orne.  
(5)  In Vendee, the population of Claye (La) added to Bretonnière (La).   
(6) In Aube, the populations of Bercenay-le-Hayer and Trancault added to Val-d'Orvin.",348,"11,245,118","8,148","125,496.49","Communes with 2,000 inhabitants or more living in houses separated by at most 200 me-_tres; or communes in which the majority of the; population is part of a multi-communal agglomeration of this nature.",261,"5,741",8,287.89,"75,140","10,942,730","6,546","160,306.02","41,839,872",13.73,71.05,75.50,261,0,0,0,"City Population, www.citypopulation.de; Population Census 1999, Institut National de la Statistique et des _tudes _conomiques, www.insee.fr",Getty; Times Atlas of the World 1999; NIMA; World Gazetteer
Faeroe Islands,FRO,Europe,5,220,22005,Northern Europe,FO,234,10,3,"1,408",1,Islands,,,,,15,,2001,48,44,47,47,44,46,-1.21,-1.18,"Digital Chart of the World (DCW) and World Vector Shoreline, http://www.ngdc.noaa.gov/mgg/shorelines/shorelines.html .","2001 population data for regions, municipalities, towns and villages: http://www.hagstova.fo/Welcome_uk.html .","To assign municipal and regional populations, a hybrid of Region (administrative level 1) and Municipality (administrativelevel 2) internal boundaries were created:  
(1) Region STREYMOY ANNARS was combined with region TÓRSHAVNAR ØKI_ as they are on the same island; 
(2) Region NOR_ARA EYSTUROY and region SY_RA EYSTUROY were combined as they are on the same island; 
(3) Vi_arei_is in region NOR_OYGGJAR ANNARS was assigned to region KLAKSVÍKARØKI_ as it is on the same island.  
(4) Added one island, i.e.,  the island of Kirkjubøur, from World Vector Shoreline at: http://rimmer.ngdc.noaa.gov/coast/
All populations are obtained by generating sums of towns/villages to either muncipalities or islands.","2001 population data were extrapolated to target years of 1990, 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.",11,"12,208","1,000","2,802.91",Torshavn.,2,141,132,136.29,273,"6,697","6,530","6,613.50","13,227",19.36,28.42,38.40,2,0,0,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",NIMA; World Gazetteer
United Kingdom,GBR,Europe,5,840,84005,Northern Europe,GB,826,24,135,"247,193",3,,,,,,434,1990,2001,"57,876","58,488","58,719","57,561","58,606","59,415",-0.55,1.17,Seamless Administrative Boundaries of Europe (SABE) distributed by MEGRIN: http://www.megrin.org/megrin.html; MEGRIN is now Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE v1995.2 date of release: 31 Mar 1998).,"England and Wales data is from the Office for National Statistics (ONS) in their Census 200 report, http://www.statistics.gov.uk/.  Scotland's data is from the Registrar General from Scotland in Scoltand's Census 2001.  Northern Ireland's data is from NSO: http://www.nisra.gov.uk/census/Census2001Output/PopulationReport/populationreport1.html .",,,447,"7,116,814","2,335","78,386.64","England and Wales: urban areas formed of continuously built-up urban land, the largest urban areas forming agglomerations in which urban sub-divisions are recognised. Scot_land: urban localities, similar in concept to urban areas in England and Wales, except that the urban localities as defined do not extend across local gov_ernment district boundaries. Northern Ireland: ur_ban area formed of continuously built up land, forming an agglomeration in which urban subdivi_sions are recognised.",107,"7,723",2,517.59,"55,382","12,766,430","5,937","462,174.49","49,452,670",22.40,84.22,89.50,106,0,1,0,"City Population, www.citypopulation.de; World Gazetteer, www.citypopulation.de; World Gazetteer, www.gazetteer.de",Getty; Times Atlas of the World 1999; NIMA
Guernsey,GGY,Europe,5,,,,,,9,56,85,0,National,,,,,1,1991,2001,56,56,56,,,,,,Digital Chart of the World (DCW).,Population data from the 2001 Guernsey Census report on the census of population and households.  States of Guernsey. Advisory and Finance Committee.,,"The ""resident population present"" numbers used as input population data.",5,"16,503","2,294","8,512.80",,1,62,62,61.96,62,"39,195","39,195","39,195.00","39,195",72.58,69.72,considered part of the Channel Islands by UN,1,0,0,0,"City Population, www.citypopulation.de",NIMA
Gibraltar,GIB,Europe,5,280,28005,Southern Europe,GI,292,2,27,5,0,,,,,,1,1991,1997,27,27,27,27,27,27,1.40,-1.63,Digital Chart of the World (DCW).,"The 1991 national population from Census of Gibralatar 1991 Report, Government of Gibraltar.  
The 1997 national population from Government of Gibraltar Information Services, http://www.gibraltar.gov.gi/index.htm
",,,1,"26,749","26,749","26,749.00",Entire population.,1,4,4,3.71,4,"20,184","20,184","20,184.00","20,184",75.64,73.56,100.00,1,0,0,0,"Gibraltar National Statistical Office, Gibraltar National Statistical Office, www.gibraltar.gov.gi",World Gazetteer
Greece,GRC,Europe,5,288,28805,Southern Europe,GR,300,11,10,"131,891",3,Region,Prefecture,Municipality/Commune,,,1034,1991,2001,"10,067","10,427","10,843","10,160","10,454","10,610",0.91,-2.20,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"National Statistical Service of Greece, http://www.statistics.gr; 2001 census tables for Eurostat",,Regional level population growth rates were calculated between 1991 and 2001 applied to 2001 Commune population.  The 2001 Region (administrative level 1) units do not match or nest to 1991 Regional boundaries.  Thus the  2001 Commune (administrative level 3) data are aggregated to spatially match 1991 regional boundaries in order to calculate the region growth rates.   ,"1,103","741,187","1,006","7,789.09","Municipalities and communes in which the largest population centre has 10,000 in_habitants or more, plus 18 urban agglomerations as defined in the 1991 census: Greater Athens, Thessaloniki, Patra, Iraklion, Volos, Chania, Irannina, Chalkida, Agrino, Kalamata, Katerini, Kerkyra, Salamina, Chios, Egio, Rethymno, Ermoupolis and Sparti.",113,"2,400",11,162.31,"18,342","3,640,597","5,003","71,992.02","8,135,098",13.91,75.02,60.30,109,4,0,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",World Gazetteer
Croatia,HRV,Europe,5,171,17105,Southern Europe,HR,191,10,8,"56,406",2,County,Towns and Municipalities,,,,544,,2001,"4,180","4,243","4,306","4,517","4,634","4,654",7.46,7.47,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"Croation Bureau of Statistics, http://www.dzs.hr/Eng/Census/Popis/E01_01_01/E01_01_01.html","The municipality of Orlic in the County of Sibenik-Knin reported no population data, but existed in shapefile, thus its polygon is merged with Knin, a neighboring unit with which it shared most boundaries. The municipality of Slivno in Dubrovnik-Neretva had a population but no matching  polygon in the SABE shapefile, thus, its point coordinates were located then its population added to the  municipality in which it falls, i.e., the municipality of  Podosoje. ","Population data were extrapolated to target years of 1990, 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.",121,"693,214","3,029","19,763.33",Not available.,46,973,8,104.14,"4,791","255,147","5,293","30,887.72","1,420,835",8.49,32.99,58.10,40,6,0,0,"City Population, www.citypopulation.de; STATISTICAL INFORMATION 2003, Republic of Croatia, Central Bureau of Statistics, http://www.dzs.hr/defaulte.htm; World Gazetteer, www.gazetteer.de",NIMA
Hungary,HUN,Europe,5,328,32805,Eastern Europe,HU,348,5,3,"92,046",2,Megye (County),Village,,,,3158,1990,2002,"10,251","10,216","10,186","10,365","10,214","9,968",1.10,-2.19,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"1990 population from the Census of 1990, Hungarian Statistical Office, Department of Population Surveys, Budapest. 
2002 population from The Detailed Gazetteer of the Republic of Hungary.  Hungarian Statistical Office. Downloadale Data of the Settlements of the Republic, http://helynevtar.ksh.hu/download.php3?sid=10643405581416982990&tract=3&c_lang=en",,"The Megye (administrative level 1) growth rate from 1990 to 2002 was applied to 2002 Village (administrative level 2) population. Because of Megye boundary changes, 2002 population of the villages of Lázi, Bakonypéterd, Sikátor, Románd, Veszprémvarsány, Bakonygyirót, Bakonyszentlászló, Feny_f_  from  the Megye Gy_r-Moson-Sopron are assigned to Vesprem Megye to spatially match 1990 Megye boundaries in order to calculate the Megye growth rate. 
Recent Village boundary divisions were accomodated in the following attribution of population: 
(1) In Fejér, the population of Daruszentmiklós added to El_szállás.  
(2) In Gy_r-Moson-Sopron, the population of Károlyháza added to Kimle. 
(3) In heves, the population of Szarvask_ added to Eger.  
(4) In Jász-Nagykun-Szolnok, the population of Tiszasz_l_s added to Tiszafüred. 
(5) In Komárom-Esztergom, the population of Ászár added to Kisbér. 
(6) In Nógrád, the population of  Rákóczibánya added to Bátonyterenye. 
(7) In Pest, the population of Csörög added to Sz_d; and population of Remetesz_l_s added to Nagykovácsi.  
(8) In Somogy, population of Zákányfalu added to Zákány.  
(9) In Szabolcs-Szatmár-Bereg, the population of Szorgalmatos added to Tiszavasvári.","1,426","1,763,110","1,009","6,603.60",Budapest and all legally designated towns.,136,"1,777",8,80.65,"10,968","2,336,499","5,049","45,166.60","6,142,658",11.92,60.30,64.80,131,5,0,0,"2001 Hungary Census, Hungary Central Statistical Office, http://www.ksh.hu/pls/ksh/docs/index_eng.html",Getty; Times Atlas of the World 1999; NIMA; World Gazetteer
Isle of Man,IMN,Europe,5,,,,,,5,3,572,1,Census District,Town/Village/Parish,,,,24,1996,2001,67,71,75,67,71,75,0.41,-0.48,National boundary data obtained from VMAP level 0 (Geocommunity CD). ,"1996 and 2001 data from the Isle of Man Census Report 2001, Volume 2. Economic Affairs Division, Isle of Man Government Treasury.","The Census District boundaries are digitized based on a map from the Isle of Man Census Report 2001, Volume 2. Economic Affairs Division, Isle of Man Government Treasury.",The population data refers to the Isle of Man Resident Population defined as residents present on census night plus residents absent from the Island on census night.,8,"24,963","1,662","6,844.38","Borough of Douglas, town and vil_lage districts. From 1951 to 1976: Towns of Castletown, Douglas Peel and Ramsey.",1,206,206,205.59,206,"49,793","49,793","49,793.00","49,793",35.97,66.08,76.80,1,0,0,0,"City Population, www.citypopulation.de",NIMA; World Gazetteer
Iceland,ISL,Europe,5,332,33205,Northern Europe,IS,352,27,2,"91,116",2,Constituency,Municipality,,,,123,1998,2000,258,266,283,255,267,279,-1.18,-1.38,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"Statistics Iceland, http://www.statice.is .","(1) The following units in the spatial data did not match census enumeration units: Glæsibæjarhreppur, Öxnadalshreppur, Skri_uhreppur. Lat/long coordinates were located for each place, and populations aggregated to the corresponding administrative unit (all Högábygg_).  
(2) Almenningur is public land and has a population of zero.  Constituency (administartive level 1) names were not included in data and were not readily available for timely addition to data.",,29,"110,977","1,041","8,437.52",Localities with 200 inhabitants or more.,4,443,166,257.32,"1,029","167,367","6,785","51,058.00","204,232",1.13,72.21,92.70,4,0,0,0,"Statistical Yearbook of Iceland 2002, Statistics Iceland, www.hagstofa.is",NIMA; World Gazetteer
Italy,ITA,Europe,5,366,36605,Southern Europe,IT,380,6,7,"299,287",3,Region,Province,Commune,,,8105,1991,2001,"56,740","56,769","56,905","56,719","57,301","57,530",-0.04,1.09,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"14th General Population and Housing Census Legal Population.  DaWinci; the Data Warehouse. National Statistical Institute, Italy: http://dawinci.istat.it/pl/ .",,"Recent boundary divisions were accomodated in the following attribution of population: 
(1) In the province of Padova, Carrara San Giorgio and Carrara Santo Stefano  are merged and assigned the population of Due Carrare.
(2) In Rovigo, Contarina and Donada are merged and assigned the population of Porto Viro. 
(3) In the province of Biella in Piemonte, the commune Pistolesa's population is not available.  
(4) In Salerno, the population of Bellizi added to Montercorvino Rovella from which is was created in 1990. 
(5) In Nuoru, population of Cardedu added to Gairo from which it was created in 1984; and population of Lodine added to Gavoi from which it was created in 1988.  
(6) In Cagliari, population of Castiadas distributed equally to the comuni of Villaputzu, SanVito and Muravera, from which it was created in 1986; populations of Elmas, Monserrato, and Quartucciu are added to the commune Cagliari from which they were created in 1989, 1991 and 1983 respectively; population of Piscinas added to Giba from which it was created in 1988.  
(7) In Venezia, the population of Cavallino-Treporti added to  Venezia from which it was created in 1999.  
(8) In Sassari, the population of Erula distributed equally to the comuni of Perfugas and Chiaromonti from which it was created in 1988; the population of Padru added to Budduso from which it was created in 1996; population of  Santa Maria Coghinas added to Valledoria from which it was created in 1983; and population of Stintino added to commune of Sassari from which it was created in 1988.
(9) In Roma, the population of Fiumicino added to comune of Roma from which it was created in 1992; Fonte Nuova population distributed equally to the comuni of Mentana and Guidonia Montecelio from which it was created in 1999; and population of San Cesareo added to Zagarolo from which it was created in 1990.
(10) In Napoli, the population of Massa di Somma added to Cercola from which it was created in 1988.  
(11) In Catania, the population of Ragalna added to Paterno from which it was created in 1985.  
(12) In Reggio di Calabria, population of San Ferdinando added to Rosarno from which it was created in 1977.  
(13) In Taranto, population of Statte added to Taranto from which it was created in 1993. 
(14) In Messina, the population of Torrenova added to San Marco d'Alunzio from which it was created in 1984.","1,349","2,568,775","7,985","29,933.14","Communes with 10,000 inhabitants or more.",341,"5,969",3,214.86,"73,269","7,348,382","5,047","124,613.95","42,493,357",24.48,74.67,67.10,298,43,0,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",Getty; Times Atlas of the World 1999; NIMA; World Gazetteer
Jersey,JEY,Europe,5,,,,,,11,87,119,0,,,,,,1,1991,2001,84,85,87,,,,,,Digital Chart of the World (DCW).,"Population data from the Report on the 2001 Census Jersey, by the Etat Civil Committee.",,"The ""resident population present"" numbers used as input population data.",12,"28,150","1,567","7,230.58",,1,108,108,107.96,108,"76,282","76,282","76,282.00","76,282",90.37,87.81,considered part of the Channel Islands by UN,1,0,0,0,"City Population, www.citypopulation.de",NIMA; World Gazetteer
Liechtenstein,LIE,Europe,5,442,44205,Western Europe,LI,438,4,3,160,1,Municipality,,,,,11,1990,2001,30,31,33,29,31,33,-2.61,0.12,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"Office of National Economy, Liechtenstein in Figures, http://www.liechtenstein.li/lisite/html/liechtenstein/index.jsp?treeId=ZALFAK_en_EN&topicId=0.3&sync=true .",,"National (administrative level 0) population growth rates, between 1990–1997 and 1997–2001, were applied to the 2001 municipality (administrative level 1) population units to project to target years. ",9,"5,471","1,184","3,520.44",Not available.,1,97,97,97.44,97,"30,014","30,014","30,014.00","30,014",60.87,91.06,21.50,1,0,0,0,"Statistical Yearbook of Liechtenstein 2003, www.llv.li",Times Atlas of the World 1999; World Gazetteer
Lithuania,LTU,Europe,5,444,44405,Northern Europe,LT,440,36,70,"64,995",2,Province,District,,,,51,1989,2001,"3,864","3,696","3,548","3,722","3,715","3,696",-3.82,4.01,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"1995 population is an estimate based on the 1999 population from Statistics Lithunia, http://www.std.lt/web/main.php and 1989 population from UNEP/GRID Arendal.",,"1990 population is based on growth rate between 1995–2001.  Recent boundary divisions were accomodated in the following attribution of population: 
(1) In the province (administrative level 1) of Marijampole, the following districts (administrative level 2) are merged and assigned a single total population value - Sakiai, Kalvarijos, Kazlu Ruda, Marijampole, and Vilkaviskis.
(2) The population of Pagegiai in province of Taurage added to Silute in province of Klaipeda.  
(3) In Telsiai, population of Rietavas addded to Plunge.  
(4) In Utena, the districts of Ignalinos and Visaginas are merged and assigned a single total population value.  
(5) Trakai in Vilnius and Kaisiadorys in Kaunas are merged and population value assigned is the total of the two merged districts plus population of Elektrenai (in Vilnius).",98,"545,078","1,029","23,827.54","Cities and urban-type localities, of_ficially designated as such, according to criteria based on the number of inhabitants and the pre_dominance of non-agricultural workers and their families.",52,670,13,95.01,"4,941","619,327","5,244","46,739.29","2,430,443",7.60,68.51,68.60,52,0,0,0,"Lithuania Population and Housing Census 2001, Statistics Lithuania, http://www.std.lt/web/main.php?parent=755&module=7",NIMA; UNSD; World Gazetteer
Luxembourg,LUX,Europe,5,446,44605,Western Europe,LU,442,5,4,"2,587",2,Commune,Localite,,,,118,1995,2001,382,406,433,382,410,437,-0.01,0.85,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"Central Service for Statistics and Economic Studies (STATEC), Luxemburg, http://statec.gouvernement.lu/html_fr/RP_2001/rp01_commune_localite.html .",,A population growth rate was calculated between 1995 and 2001. The 1995 population is an estimate based on 1991 to 1998 figures provided by the (STATEC).,82,"76,602","1,000","3,987.16","Communes having more than 2,000 inhabitants in the administrative center.",3,666,25,267.96,804,"286,821","7,450","108,522.33","325,567",31.07,75.14,91.90,3,0,0,0,"Population Census 2001, Le Service central de la statistique et des _tudes _conomiques, www.statec.lu/html_fr/RP_2001/resultats.html",World Gazetteer
Latvia,LVA,Europe,5,407,40705,Northern Europe,LV,428,10,4,"64,196",2,Rajons,Rajona piseta,,,,585,1990,2000,"2,652","2,577","2,381","2,671","2,516","2,421",0.73,1.65,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"Central Statistics Bureau of Latvia,  ""Results of the 2000 Population and Housing Census in Latvia.""",,"Used Rajon (administrative level 1) population growth rates from 1990,1995 and 2000 and applied it to 2000 Rajona piseta populations to extrapolate to target years. ",76,"764,329","1,207","21,661.58","Cities and urban-type localities, of_ficially designated as such, usually according to criteria based on the number of inhabitants and pre_dominance of non-agricultural workers and their families.",33,"1,195",24,103.10,"3,402","912,508","5,093","47,657.61","1,572,701",5.30,66.05,59.80,33,0,0,0,"City Population, www.citypopulation.de; Statistical Yearbook of Latvia 2002, UN Statistical Library, hard copy",NIMA
Monaco,MCO,Europe,5,502,50205,Western Europe,MC,492,3,34,10,0,,,,,,1,,1995,30,32,34,30,32,33,-0.99,-2.42,Digital Chart of the World (DCW).,"National level pop data from the United Nations World Population Prospects, 1998 Revision, United Nations Population Division, New York. ",,,4,"15,507","1,034","8,005.00",Monaco (capital city).,1,3,3,3.45,3,"9,166","9,166","9,166.00","9,166",33.45,27.12,100.00,1,0,0,0,"City Population, www.citypopulation.de",Times Atlas of the World 1999
Republic of Moldova,MDA,Europe,5,641,64105,Eastern Europe,MD,498,26,88,"34,012",1,Rayon,,,,,49,1989,1998,"4,332","4,313","4,304","4,364","4,339","4,295",0.72,-0.21,Australian Centre of the Asian Spatial Information and Analysis Network (ACASIAN).,"1989 population from from ACASIAN. 
1998 from the UNDP Office in Moldova (Ms. Ludmila Tiganu, tiganu@office.un.md)",,,26,"662,000","15,200","64,685.27","Cities and urban-type localities, of_ficially designated as such, usually according to criteria based on the number of inhabitants and the predominance of non-agricultural workers and their families.",20,534,27,104.65,"2,093","829,852","6,312","89,666.50","1,793,330",6.15,41.67,41.40,20,0,0,0,"City Population, www.citypopulation.de",NIMA; World Gazetteer
Macedonia,MKD,Europe,5,762,76205,Southern Europe,MK,807,14,16,"24,702",2,Region,Municipality,,,,123,1994,2002,"1,912","1,955","2,002","1,909","1,963","2,034",-0.15,1.56,"Municpal boundary paper map prepared by the State Statistical Office from State Statistical Office, Republic of Macedonia","2002 data from the Census of Population, Households and Dwellings in the Republic of Macedonia, 2002. Final Report. Republic of Macedonia, State Statistical Office. 
1994 population from the Census 1994 (according to 1996 administrative boundaries) at http://www.stat.gov.mk/english/index_eng.htm .","Municipal boundary drawn based on map prepared by the Republic of Macedonia State Statistical Office, 2003.",A  population growth rate was calculated between 1994 and 2000 to extrapolate to target years.,30,"463,738","13,938","48,513.33",Not available.,21,487,34,127.92,"2,686","497,150","9,262","58,970.33","1,238,377",10.87,61.85,59.40,20,1,0,0,"City Population, www.citypopulation.de",NIMA; World Gazetteer
Malta,MLT,Europe,5,479,47905,Southern Europe,MT,470,2,6,315,2,District,Locality,,,,67,1995,2001,365,378,392,360,378,390,-1.47,-0.46,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"1995 data from: http://www.nso.gov.mt/publications/census'95/volume1/chapter5.htm .
2001 data from: Demographic Review, 2001 published by the National Statistics Office, Malta 2002 (PDF-- see Website: http://www.nso.gov.mt)",,"In the Western District, population of Mtarfa added to Rabat.",60,"22,348","1,273","6,528.88","Towns with 1,500 inhabitants or more and district centres.",2,225,61,143.09,286,"341,173","29,024","185,098.50","370,197",90.74,94.49,91.20,2,0,0,0,"1995 Malta Census, National Statistical Office, www.nso.gov.mt",Times Atlas of the World 1999; NIMA; World Gazetteer
